datetime,user,heartrate,steps
2020-08-14 03:28:00,AHYIJDV,64,0
2020-08-14 03:29:00,AHYIJDV,64,0
2020-08-14 03:30:00,AHYIJDV,61,0
2020-08-14 03:31:00,AHYIJDV,68,0
2020-08-14 03:32:00,AHYIJDV,72,0
2020-08-14 03:33:00,AHYIJDV,70,0
2020-08-14 04:41:00,AHYIJDV,70,0
2020-08-14 04:43:00,AHYIJDV,68,0
2020-08-14 04:44:00,AHYIJDV,86,0
2020-08-14 04:45:00,AHYIJDV,67,0
2020-08-14 04:47:00,AHYIJDV,66,0
2020-08-14 04:48:00,AHYIJDV,65,0
2020-08-14 04:50:00,AHYIJDV,65,0
2020-08-14 04:51:00,AHYIJDV,64,0
2020-08-14 04:53:00,AHYIJDV,66,0
2020-08-14 04:55:00,AHYIJDV,66,0
2020-08-14 04:56:00,AHYIJDV,68,0
2020-08-14 05:50:00,AHYIJDV,73,0
2020-08-14 05:51:00,AHYIJDV,68,0
2020-08-14 05:52:00,AHYIJDV,69,0
2020-08-14 05:53:00,AHYIJDV,59,0
2020-08-14 05:55:00,AHYIJDV,64,0
2020-08-14 06:42:00,AHYIJDV,66,0
2020-08-14 06:43:00,AHYIJDV,62,0
2020-08-14 06:45:00,AHYIJDV,64,0
2020-08-14 06:46:00,AHYIJDV,65,0
2020-08-14 06:48:00,AHYIJDV,66,0
2020-08-14 06:51:00,AHYIJDV,65,0
2020-08-14 06:52:00,AHYIJDV,65,0
2020-08-14 06:55:00,AHYIJDV,66,0
2020-08-14 06:57:00,AHYIJDV,66,0
2020-08-14 07:48:00,AHYIJDV,84,16
2020-08-14 07:52:00,AHYIJDV,106,37
2020-08-14 07:53:00,AHYIJDV,112,0
2020-08-14 13:36:00,AHYIJDV,71,0
2020-08-14 13:41:00,AHYIJDV,78,0
2020-08-14 14:07:00,AHYIJDV,77,0
2020-08-14 14:18:00,AHYIJDV,63,0
2020-08-14 14:21:00,AHYIJDV,67,0
2020-08-14 14:23:00,AHYIJDV,63,0
2020-08-14 14:24:00,AHYIJDV,64,0
2020-08-14 14:30:00,AHYIJDV,67,0
2020-08-14 17:50:00,AHYIJDV,68,0
2020-08-14 17:53:00,AHYIJDV,65,0
2020-08-14 19:08:00,AHYIJDV,67,0
2020-08-14 19:09:00,AHYIJDV,66,0
2020-08-14 19:10:00,AHYIJDV,61,0
2020-08-14 19:20:00,AHYIJDV,92,15
2020-08-14 23:25:00,AHYIJDV,60,0
2020-08-14 23:28:00,AHYIJDV,59,0
2020-08-14 23:31:00,AHYIJDV,62,0
2020-08-14 23:32:00,AHYIJDV,59,0
2020-08-14 23:34:00,AHYIJDV,60,0
2020-08-15 00:45:00,AHYIJDV,50,0
2020-08-15 00:46:00,AHYIJDV,53,0
2020-08-15 00:47:00,AHYIJDV,49,0
2020-08-15 00:48:00,AHYIJDV,65,0
2020-08-15 00:49:00,AHYIJDV,55,0
2020-08-15 00:54:00,AHYIJDV,51,0
2020-08-15 00:56:00,AHYIJDV,50,0
2020-08-15 01:01:00,AHYIJDV,52,0
2020-08-15 02:46:00,AHYIJDV,55,0
2020-08-15 02:49:00,AHYIJDV,54,0
2020-08-15 02:51:00,AHYIJDV,54,0
2020-08-15 02:52:00,AHYIJDV,55,0
2020-08-15 02:56:00,AHYIJDV,54,0
2020-08-15 02:57:00,AHYIJDV,55,0
2020-08-15 02:58:00,AHYIJDV,73,0
2020-08-15 03:00:00,AHYIJDV,51,0
2020-08-15 03:01:00,AHYIJDV,56,0
2020-08-15 03:02:00,AHYIJDV,54,0
2020-08-15 05:20:00,AHYIJDV,58,0
2020-08-15 05:21:00,AHYIJDV,58,0
2020-08-15 05:22:00,AHYIJDV,55,0
2020-08-15 05:23:00,AHYIJDV,55,0
2020-08-15 05:24:00,AHYIJDV,54,0
2020-08-15 05:26:00,AHYIJDV,57,0
2020-08-15 05:27:00,AHYIJDV,58,0
2020-08-15 05:28:00,AHYIJDV,58,0
2020-08-15 05:29:00,AHYIJDV,57,0
2020-08-15 05:31:00,AHYIJDV,61,0
2020-08-15 05:32:00,AHYIJDV,57,0
2020-08-15 06:09:00,AHYIJDV,58,0
2020-08-15 06:14:00,AHYIJDV,63,0
2020-08-15 06:15:00,AHYIJDV,58,4
2020-08-15 06:17:00,AHYIJDV,57,0
2020-08-15 06:19:00,AHYIJDV,56,0
2020-08-15 06:20:00,AHYIJDV,56,0
2020-08-15 06:21:00,AHYIJDV,60,0
2020-08-15 06:22:00,AHYIJDV,57,0
2020-08-15 06:23:00,AHYIJDV,56,0
2020-08-15 06:24:00,AHYIJDV,61,0
2020-08-15 09:50:00,AHYIJDV,88,14
2020-08-15 09:56:00,AHYIJDV,70,8
2020-08-15 10:05:00,AHYIJDV,73,0
2020-08-15 10:06:00,AHYIJDV,77,0
2020-08-15 10:09:00,AHYIJDV,65,0
2020-08-15 10:11:00,AHYIJDV,63,0
2020-08-15 10:12:00,AHYIJDV,61,0
2020-08-15 10:13:00,AHYIJDV,62,0
2020-08-15 10:14:00,AHYIJDV,63,0
2020-08-15 10:15:00,AHYIJDV,65,0
2020-08-15 10:17:00,AHYIJDV,71,0
2020-08-15 10:18:00,AHYIJDV,66,0
2020-08-15 10:20:00,AHYIJDV,63,0
2020-08-15 10:22:00,AHYIJDV,64,0
2020-08-15 10:24:00,AHYIJDV,71,0
2020-08-15 10:30:00,AHYIJDV,74,0
2020-08-15 10:31:00,AHYIJDV,69,0
2020-08-15 10:37:00,AHYIJDV,68,0
2020-08-15 10:38:00,AHYIJDV,73,0
2020-08-15 10:41:00,AHYIJDV,66,0
2020-08-15 10:44:00,AHYIJDV,71,0
2020-08-15 10:45:00,AHYIJDV,70,0
2020-08-15 10:47:00,AHYIJDV,66,0
2020-08-15 10:51:00,AHYIJDV,65,0
2020-08-15 10:52:00,AHYIJDV,68,0
2020-08-15 10:53:00,AHYIJDV,67,0
2020-08-15 10:54:00,AHYIJDV,66,0
2020-08-15 10:56:00,AHYIJDV,70,0
2020-08-15 10:57:00,AHYIJDV,67,0
2020-08-15 10:59:00,AHYIJDV,66,0
2020-08-15 11:02:00,AHYIJDV,74,0
2020-08-15 11:04:00,AHYIJDV,72,8
2020-08-15 11:05:00,AHYIJDV,72,0
2020-08-15 11:07:00,AHYIJDV,76,0
2020-08-15 11:10:00,AHYIJDV,68,0
2020-08-15 15:53:00,AHYIJDV,71,25
2020-08-15 15:54:00,AHYIJDV,75,40
2020-08-15 15:56:00,AHYIJDV,79,74
2020-08-15 15:57:00,AHYIJDV,91,10
2020-08-15 19:35:00,AHYIJDV,59,0
2020-08-15 19:38:00,AHYIJDV,66,0
2020-08-15 19:39:00,AHYIJDV,68,0
2020-08-15 19:40:00,AHYIJDV,73,0
2020-08-15 19:43:00,AHYIJDV,69,0
2020-08-15 19:44:00,AHYIJDV,71,0
2020-08-15 19:46:00,AHYIJDV,75,0
2020-08-15 19:48:00,AHYIJDV,72,0
2020-08-15 19:51:00,AHYIJDV,82,0
2020-08-15 19:52:00,AHYIJDV,69,0
2020-08-15 19:53:00,AHYIJDV,70,0
2020-08-15 19:54:00,AHYIJDV,70,0
2020-08-15 19:55:00,AHYIJDV,75,0
2020-08-15 19:56:00,AHYIJDV,75,17
2020-08-15 19:57:00,AHYIJDV,74,0
2020-08-15 19:59:00,AHYIJDV,70,0
2020-08-15 20:00:00,AHYIJDV,69,0
2020-08-15 20:02:00,AHYIJDV,72,0
2020-08-15 20:03:00,AHYIJDV,74,0
2020-08-15 20:04:00,AHYIJDV,72,0
2020-08-15 20:06:00,AHYIJDV,78,24
2020-08-15 20:10:00,AHYIJDV,67,0
2020-08-15 20:11:00,AHYIJDV,72,0
2020-08-15 20:13:00,AHYIJDV,66,0
2020-08-15 20:16:00,AHYIJDV,66,0
2020-08-15 20:18:00,AHYIJDV,64,0
2020-08-15 20:21:00,AHYIJDV,72,0
2020-08-15 20:22:00,AHYIJDV,69,0
2020-08-15 20:23:00,AHYIJDV,63,0
2020-08-15 20:24:00,AHYIJDV,66,0
2020-08-15 20:29:00,AHYIJDV,63,0
2020-08-15 20:30:00,AHYIJDV,70,0
2020-08-15 20:31:00,AHYIJDV,67,0
2020-08-15 20:32:00,AHYIJDV,70,0
2020-08-15 20:33:00,AHYIJDV,69,0
2020-08-15 20:35:00,AHYIJDV,73,0
2020-08-15 20:38:00,AHYIJDV,72,0
2020-08-15 20:40:00,AHYIJDV,77,0
2020-08-15 20:41:00,AHYIJDV,76,0
2020-08-15 20:43:00,AHYIJDV,72,0
2020-08-15 20:44:00,AHYIJDV,70,0
2020-08-15 20:45:00,AHYIJDV,73,0
2020-08-15 20:46:00,AHYIJDV,75,0
2020-08-15 20:48:00,AHYIJDV,75,0
2020-08-15 20:49:00,AHYIJDV,68,0
2020-08-15 20:50:00,AHYIJDV,62,0
2020-08-15 20:52:00,AHYIJDV,59,0
2020-08-15 21:08:00,AHYIJDV,56,0
2020-08-15 21:10:00,AHYIJDV,53,0
2020-08-15 21:11:00,AHYIJDV,53,0
2020-08-15 21:14:00,AHYIJDV,62,0
2020-08-15 21:16:00,AHYIJDV,55,0
2020-08-15 21:18:00,AHYIJDV,57,0
2020-08-15 21:19:00,AHYIJDV,57,0
2020-08-15 21:22:00,AHYIJDV,49,0
2020-08-15 21:24:00,AHYIJDV,51,0
2020-08-15 21:25:00,AHYIJDV,64,0
2020-08-15 21:27:00,AHYIJDV,56,0
2020-08-15 21:29:00,AHYIJDV,49,0
2020-08-15 21:32:00,AHYIJDV,68,27
2020-08-15 23:33:00,AHYIJDV,55,0
2020-08-15 23:34:00,AHYIJDV,55,0
2020-08-15 23:35:00,AHYIJDV,54,0
2020-08-16 00:26:00,AHYIJDV,57,0
2020-08-16 00:28:00,AHYIJDV,56,0
2020-08-16 00:29:00,AHYIJDV,57,0
2020-08-16 00:34:00,AHYIJDV,55,0
2020-08-16 00:35:00,AHYIJDV,55,0
2020-08-16 00:36:00,AHYIJDV,56,0
2020-08-16 00:38:00,AHYIJDV,54,0
2020-08-16 00:39:00,AHYIJDV,56,0
2020-08-16 01:50:00,AHYIJDV,51,0
2020-08-16 01:51:00,AHYIJDV,54,0
2020-08-16 01:52:00,AHYIJDV,52,0
2020-08-16 01:54:00,AHYIJDV,54,0
2020-08-16 01:55:00,AHYIJDV,60,0
2020-08-16 01:56:00,AHYIJDV,50,0
2020-08-16 01:59:00,AHYIJDV,53,0
2020-08-16 02:01:00,AHYIJDV,47,0
2020-08-16 02:03:00,AHYIJDV,49,0
2020-08-16 02:04:00,AHYIJDV,49,0
2020-08-16 02:05:00,AHYIJDV,52,0
2020-08-16 02:06:00,AHYIJDV,52,0
2020-08-16 03:15:00,AHYIJDV,55,0
2020-08-16 03:17:00,AHYIJDV,80,0
2020-08-16 03:18:00,AHYIJDV,56,0
2020-08-16 03:21:00,AHYIJDV,55,0
2020-08-16 03:22:00,AHYIJDV,55,0
2020-08-16 03:23:00,AHYIJDV,56,0
2020-08-16 03:24:00,AHYIJDV,52,0
2020-08-16 03:26:00,AHYIJDV,52,0
2020-08-16 03:27:00,AHYIJDV,56,0
2020-08-16 03:28:00,AHYIJDV,49,0
2020-08-16 03:29:00,AHYIJDV,53,0
2020-08-16 03:30:00,AHYIJDV,53,0
